Nazwa produktu	białka	tłuszcze	węglowodany
Agrest	0.8	0.2	11.8
Amarantus. nasiona	14.5	6.5	66.2
Ananas	0.4	0.2	13.6
Ananas w syropie	0.4	0.1	21
Anyż	17.6	16	50
Arbuz	0.6	0.1	8.4
Avocado	2	15.3	7.4
Bakłażan	1.1	0.1	6.3
Baleron	15.1	20.2	0.9
Banan	1	0.3	23.5
Banany suszone	3.8	1.1	88.8
Bazylia suszona	14.3	4	61
Bazylia świeża	3.2	0.64	2.7
Biała rzodkiew	1	0	3
Białko jajka kurzego	10.9	0.2	0.7
Bób	7.1	0.4	14
Boćwina	2.1	0.5	5.5
Boczek wędzony	13	47	0
Botwinka	2.1	0.5	5.5
Brokuły	3	0.4	5.2
Brukselka	4.7	0.5	8.7
Brzoskwinia	1	0.2	11.9
Brzoskwinia w syropie	0.4	0.1	18.2
Bułka owsiana	9.3	4.5	58.4
Bułka pszenna zwykła	8.1	1.5	57.7
Bułka sojowa	10.1	4	61.1
Bułka tarta	9.7	1.9	77.6
Bułka wrocławskia	8	4.4	56.6
Burak	1.8	0.1	9.5
Cebula	1.4	0.4	6.9
Cebula czerwona	1.4	0.4	6.9
Cebula konserwowa	0.7	0.2	12.4
Cebulka dymka	1.4	0.4	6.9
Chili	0.4	0.1	1.8
Chleb chrupki	8.7	2.4	78.9
Chleb pszenny	8.5	1.4	54.3
Chleb zwykły	6.1	1.3	56.3
Chleb żytni pełnoziarnisty	6.8	1.8	53.8
Chleb żytni razowy	5.9	1.7	51.2
Chrzan	4.5	0.6	18.1
Ciecierzyca konserwowa	6	3	18
Cieciorka	19.3	6	60.6
Cielęcina łopatka	19.9	2.8	0
Cielęcina sznyclówka	20.5	2.4	0
Cielęcina udziec	19.9	3.1	0
Cukier	0	0	99.8
Cukier brązowy	0.12	0	98
Cukier puder	0	0	100
Cukinia	1.2	0.1	3.2
Curry	13	14	58
Ćwikła	1.6	0.1	10.2
Cykoria	1.7	0.2	4.1
Cynamon	4	1.2	81
Cytryna	0.8	0.3	9.5
Czekolada gorzka	6.7	34.3	56.6
Czereśnie	1	0.3	14.6
Czerwona fasola konserwowa	8.1	0.6	12.3
Czosnek	6.4	0.5	32.6
Czosnek granulowany	17	0.73	73
